id,nom_dept,nom_com,id_com,nom_station,code_station_ue,typologie,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x,y
36,VAL-D'OISE,VAUDHERLAND,95633,GONESSE,4024,Periurb.,PM2.5,6001,12,ug.m-3,annuelle,1483225200000,1514761200000,1,659365,6876912
37,YVELINES,RAMBOUILLET,78517,Rambouillet,4181,Periurb.,PM2.5,6001,11.8,ug.m-3,annuelle,1420066800000,1451602800000,1,613827,6837698
38,YVELINES,RAMBOUILLET,78517,Rambouillet,4181,Periurb.,PM2.5,6001,9.8,ug.m-3,annuelle,1451602800000,1483225200000,1,613827,6837698
39,YVELINES,RAMBOUILLET,78517,Rambouillet,4181,Periurb.,PM2.5,6001,7.9,ug.m-3,annuelle,1483225200000,1514761200000,1,613827,6837698
40,VAL-D'OISE,LE THILLAY,95612,GONESSE,4024,Periurb.,PM2.5,6001,13.7,ug.m-3,annuelle,1388530800000,1420066800000,1,659365,6876912
41,VAL-D'OISE,LE THILLAY,95612,GONESSE,4024,Periurb.,PM2.5,6001,13.8,ug.m-3,annuelle,1420066800000,1451602800000,1,659365,6876912
42,VAL-D'OISE,LE THILLAY,95612,GONESSE,4024,Periurb.,PM2.5,6001,13.2,ug.m-3,annuelle,1451602800000,1483225200000,1,659365,6876912
43,VAL-D'OISE,LE THILLAY,95612,GONESSE,4024,Periurb.,PM2.5,6001,12,ug.m-3,annuelle,1483225200000,1514761200000,1,659365,6876912
44,HAUTS-DE-SEINE,GENNEVILLIERS,92036,GENNEVILLIERS,4002,Urbaine,PM2.5,6001,13.8,ug.m-3,annuelle,1388530800000,1420066800000,1,648292,6870262
45,HAUTS-DE-SEINE,GENNEVILLIERS,92036,GENNEVILLIERS,4002,Urbaine,PM2.5,6001,13.3,ug.m-3,annuelle,1420066800000,1451602800000,1,648292,6870262
46,HAUTS-DE-SEINE,GENNEVILLIERS,92036,GENNEVILLIERS,4002,Urbaine,PM2.5,6001,13.5,ug.m-3,annuelle,1451602800000,1483225200000,1,648292,6870262
47,HAUTS-DE-SEINE,GENNEVILLIERS,92036,GENNEVILLIERS,4002,Urbaine,PM2.5,6001,12.7,ug.m-3,annuelle,1483225200000,1514761200000,1,648292,6870262
48,ESSONNE,BOIS-HERPIN,91075,Zone rurale Sud,4066,Rurale re.,PM2.5,6001,8.4,ug.m-3,annuelle,1514761200000,1546297200000,1,643355,6807285
49,VAL-D'OISE,GONESSE,95277,GONESSE,4024,Periurb.,PM2.5,6001,12.4,ug.m-3,annuelle,1514761200000,1546297200000,1,659365,6876912
50,VAL-D'OISE,BONNEUIL-EN-FRANCE,95088,GONESSE,4024,Periurb.,PM2.5,6001,12.4,ug.m-3,annuelle,1514761200000,1546297200000,1,659365,6876912
51,VAL-DE-MARNE,VITRY-SUR-SEINE,94081,VITRY-SUR-SEINE,4034,Urbaine,PM2.5,6001,13.3,ug.m-3,annuelle,1514761200000,1546297200000,1,654122,6853046
52,SEINE-ET-MARNE,FONTAINEBLEAU,77186,Zone Rurale SE,4328,Rurale re.,PM2.5,6001,7.7,ug.m-3,annuelle,1514761200000,1546297200000,1,673715,6806114
53,PARIS,PARIS-4E-ARRONDISSEMENT,75104,PARIS Centre,4143,Urbaine,PM2.5,6001,14.4,ug.m-3,annuelle,1514761200000,1546297200000,1,652382,6862336
54,SEINE-SAINT-DENIS,SAINT-DENIS,93066,A1 - Saint-Denis,4058,Trafic,PM2.5,6001,17.6,ug.m-3,annuelle,1514761200000,1546297200000,1,652843,6869659
55,PARIS,PARIS-12E-ARRONDISSEMENT,75112,Bld Périphérique Est,4329,Trafic,PM2.5,6001,16.2,ug.m-3,annuelle,1514761200000,1546297200000,1,656891,6859993
56,VAL-D'OISE,VAUDHERLAND,95633,GONESSE,4024,Periurb.,PM2.5,6001,12.4,ug.m-3,annuelle,1514761200000,1546297200000,1,659365,6876912
57,YVELINES,RAMBOUILLET,78517,Rambouillet,4181,Periurb.,PM2.5,6001,11.1,ug.m-3,annuelle,1514761200000,1546297200000,1,613827,6837698
58,VAL-D'OISE,LE THILLAY,95612,GONESSE,4024,Periurb.,PM2.5,6001,12.4,ug.m-3,annuelle,1514761200000,1546297200000,1,659365,6876912
59,HAUTS-DE-SEINE,GENNEVILLIERS,92036,GENNEVILLIERS,4002,Urbaine,PM2.5,6001,13,ug.m-3,annuelle,1514761200000,1546297200000,1,648292,6870262
