Year,Site,Annual average maximum daily 8-hour mean O3 concentration (ug/m3),95% confidence interval for 'All sites' (+/-),Annual data capture (%)
2013,Leeds Centre,53.9948472081077,,93.972602739726
2014,Leeds Centre,52.774203805152,,96.986301369863
2015,Leeds Centre,51.7766139896172,,96.4383561643836
2016,Leeds Centre,48.9935869196843,,98.0874316939891
2017,Leeds Centre,51.3271917742738,,98.3561643835616
2018,Leeds Centre,55.9286673089857,,96.986301369863
2019,Leeds Centre,57.8032102458664,,98.6301369863014
1994,Leicester Centre,49.3785310734463,,96.986301369863
1995,Leicester Centre,51.5967643467643,,96.1643835616438
1996,Leicester Centre,47.3293302701197,,93.4426229508197
1997,Leicester Centre,48.7084013605442,,95.8904109589041
1998,Leicester Centre,47.8683919944789,,94.5205479452055
1999,Leicester Centre,61.5991089687409,,89.3150684931507
2000,Leicester Centre,50.9749100221484,,93.9890710382514
2001,Leicester Centre,51.5877263581489,,97.2602739726027
2002,Leicester Centre,52.4189121756487,,91.5068493150685
2003,Leicester Centre,59.8822975517891,,96.986301369863
2004,Leicester Centre,52.3184104627767,,96.9945355191257
2005,Leicester Centre,53.6581196581197,,96.1643835616438
2006,Leicester Centre,61.3806198457036,,98.0821917808219
2007,Leicester Centre,54.2903183372797,,99.1780821917808
2008,Leicester Centre,57.5296135074528,,98.6338797814208
2009,Leicester Centre,54.865141955836,,86.8493150684932
2010,Leicester Centre,36.0489461358314,,83.5616438356164
2011,Leicester Centre,51.4970580186097,,95.3424657534246
2012,Leicester Centre,48.7889005602241,,92.896174863388
2013,Leicester Centre,59.8892334140267,,65.4794520547945
1993,Liverpool Centre,39.6898868458274,,55.3424657534247
1994,Liverpool Centre,49.9273741105638,,95.3424657534246
1995,Liverpool Centre,55.156337535014,,93.1506849315068
1996,Liverpool Centre,46.4538054538055,,95.9016393442623
1997,Liverpool Centre,45.8673222912353,,94.5205479452055
1998,Liverpool Centre,51.685817805383,,94.5205479452055
1999,Liverpool Centre,56.368879472693,,96.986301369863
2000,Liverpool Centre,54.7067775974026,,96.1748633879781
2001,Liverpool Centre,50.9527902851685,,95.6164383561644
2002,Liverpool Centre,58.6559474412172,,66.027397260274
1997,London Lewisham,37.8019108931126,,63.8356164383562
1998,London Lewisham,32.1186857721812,,90.1369863013699
1999,London Lewisham,35.5790997249964,,90.1369863013699
2000,London Lewisham,33.931338028169,,38.7978142076503
2001,London Lewisham,NA,,0
2002,London Lewisham,42.6690866510539,,83.5616438356164
2003,London Lewisham,48.8475658419792,,98.0821917808219
2004,London Lewisham,45.1008381545765,,87.7049180327869
2005,London Lewisham,50.7614087301587,,98.6301369863014
2006,London Lewisham,51.0928178963893,,99.7260273972603
2007,London Lewisham,49.1474527310924,,74.5205479452055
1995,Manchester Piccadilly,NA,,0
1996,Manchester Piccadilly,39.6142167011732,,94.2622950819672
1997,Manchester Piccadilly,39.6361521620142,,95.3424657534246
1998,Manchester Piccadilly,39.8400548421616,,97.5342465753425
1999,Manchester Piccadilly,43.9429043572103,,96.7123287671233
2000,Manchester Piccadilly,34.5711259079903,,96.7213114754098
2001,Manchester Piccadilly,36.132711038961,,96.4383561643836
2002,Manchester Piccadilly,38.76089529379,,93.6986301369863
2003,Manchester Piccadilly,46.5645487656819,,96.7123287671233
2004,Manchester Piccadilly,46.4578625235405,,96.7213114754098
2005,Manchester Piccadilly,43.0025080256822,,97.5342465753425
2006,Manchester Piccadilly,43.7293309962022,,89.3150684931507
2007,Manchester Piccadilly,32.0939400682391,,87.9452054794521
2008,Manchester Piccadilly,42.0748202414869,,95.9016393442623
2009,Manchester Piccadilly,34.334825668159,,96.1643835616438
2010,Manchester Piccadilly,40.0974489795918,,95.8904109589041
2011,Manchester Piccadilly,44.8107109879963,,98.9041095890411
2012,Manchester Piccadilly,42.4731638418079,,96.7213114754098
2013,Manchester Piccadilly,43.1979677593775,,98.0821917808219
2014,Manchester Piccadilly,42.1804939209017,,97.8082191780822
2015,Manchester Piccadilly,43.9198187242285,,98.0821917808219
2016,Manchester Piccadilly,38.6172816443878,,95.6284153005464
2017,Manchester Piccadilly,36.1954450166113,,94.2465753424658
2018,Manchester Piccadilly,43.0583742888646,,98.3561643835616
2019,Manchester Piccadilly,41.5044963113528,,98.0821917808219
1992,Newcastle Centre,43.173875432526,,78.9617486338798
1993,Newcastle Centre,44.5915088927137,,68.2191780821918
1994,Newcastle Centre,NA,,0
1995,Newcastle Centre,NA,,0
1996,Newcastle Centre,49.3003353454058,,96.9945355191257
1997,Newcastle Centre,47.771635610766,,94.5205479452055
1998,Newcastle Centre,51.8252133223232,,94.7945205479452
1999,Newcastle Centre,59.3826578384163,,97.5342465753425
2000,Newcastle Centre,53.8111911431239,,97.5409836065574
2001,Newcastle Centre,51.9018615944962,,96.7123287671233
2002,Newcastle Centre,53.1237961476726,,97.5342465753425
2003,Newcastle Centre,57.3327472527473,,89.041095890411
2004,Newcastle Centre,56.0961875547765,,89.0710382513661
2005,Newcastle Centre,58.3939732142857,,96.4383561643836
2006,Newcastle Centre,58.9392090169401,,97.8082191780822
2007,Newcastle Centre,57.0171509281679,,96.986301369863
2008,Newcastle Centre,56.373490706824,,95.9016393442623
2009,Newcastle Centre,48.7826723749437,,86.8493150684932
2010,Newcastle Centre,57.2171535280779,,97.8082191780822
2011,Newcastle Centre,53.7762308313156,,96.986301369863
2012,Newcastle Centre,54.3834533813525,,97.5409836065574
2013,Newcastle Centre,58.9595941811319,,98.0821917808219
2014,Newcastle Centre,53.9809519941446,,84.1095890410959
2015,Newcastle Centre,55.2755503539023,,95.6164383561644
2016,Newcastle Centre,50.5379123531857,,97.8142076502732
2017,Newcastle Centre,53.3244098234127,,98.6301369863014
2018,Newcastle Centre,57.760138575,,95.8904109589041
2019,Newcastle Centre,57.4103065891357,,97.8082191780822
2009,Norwich Lakenfields,45.0859375,,26.3013698630137
2010,Norwich Lakenfields,49.7877326217843,,95.3424657534246
2011,Norwich Lakenfields,54.1923332006897,,98.3561643835616
2012,Norwich Lakenfields,59.538961038961,,96.1748633879781
2013,Norwich Lakenfields,58.6839630153157,,97.5342465753425
2014,Norwich Lakenfields,59.7475715624588,,98.9041095890411
