Year,Site,Annual average maximum daily 8-hour mean O3 concentration (ug/m3),95% confidence interval for 'All sites' (+/-),Annual data capture (%)
1990,Lough Navar,65.0538954836949,,95.6164383561644
1991,Lough Navar,61.0441412520064,,97.5342465753425
1992,Lough Navar,65.4534769463341,,86.0655737704918
1993,Lough Navar,62.0864924181963,,98.0821917808219
1994,Lough Navar,65.0756166732621,,98.9041095890411
1995,Lough Navar,64.8203855560351,,90.6849315068493
1996,Lough Navar,61.0869521103896,,96.1748633879781
1997,Lough Navar,57.8285308441558,,96.4383561643836
1998,Lough Navar,60.9650492850201,,93.972602739726
1999,Lough Navar,65.6116309143466,,85.7534246575343
2000,Lough Navar,64.681475029036,,89.6174863387978
2001,Lough Navar,60.7599867724868,,98.6301369863014
2002,Lough Navar,54.825864422202,,86.027397260274
2003,Lough Navar,65.2924948240166,,63.013698630137
2004,Lough Navar,66.1053549624978,,74.5901639344262
2005,Lough Navar,62.9278711484594,,97.8082191780822
2006,Lough Navar,60.4556730513434,,98.0821917808219
2007,Lough Navar,59.3153581545933,,96.7123287671233
2008,Lough Navar,61.9979192249966,,95.3551912568306
2009,Lough Navar,59.5810224089636,,93.1506849315068
2010,Lough Navar,64.4696790318337,,99.1780821917808
2011,Lough Navar,66.9909630518874,,97.8082191780822
2012,Lough Navar,65.8533798576902,,95.0819672131148
2013,Lough Navar,66.1847413680387,,96.986301369863
2014,Lough Navar,64.8747019460472,,98.3561643835616
2015,Lough Navar,69.738614178538,,97.5342465753425
2016,Lough Navar,61.4623091174056,,95.0819672131148
2017,Lough Navar,63.1087396855626,,98.9041095890411
2018,Lough Navar,67.1992629915675,,98.6301369863014
2019,Lough Navar,64.6693043331633,,95.8904109589041
2008,Charlton Mackrell,58.1910815173527,,32.2404371584699
2009,Charlton Mackrell,69.5459863945578,,95.8904109589041
2010,Charlton Mackrell,69.9794070831675,,98.3561643835616
2011,Charlton Mackrell,72.8779850219019,,92.3287671232877
2012,Charlton Mackrell,66.5069854388036,,99.1803278688525
2013,Charlton Mackrell,73.5962356305237,,98.9041095890411
2014,Charlton Mackrell,70.9607257890594,,99.4520547945205
2015,Charlton Mackrell,75.6935138459903,,99.7260273972603
2016,Charlton Mackrell,70.6667897093642,,97.8142076502732
2017,Charlton Mackrell,74.1301106770833,,98.6301369863014
2018,Charlton Mackrell,89.290751078024,,98.9041095890411
2019,Charlton Mackrell,66.7553102696078,,37.2602739726027
2003,Market Harborough,48.1710526315789,,5.20547945205479
2004,Market Harborough,68.5067118835665,,92.0765027322404
2005,Market Harborough,61.7183758978452,,98.0821917808219
2006,Market Harborough,72.9935977297896,,94.2465753424658
2007,Market Harborough,68.5119725953059,,96.1643835616438
2008,Market Harborough,71.0506451183825,,97.8142076502732
2009,Market Harborough,66.9095159515952,,83.013698630137
2010,Market Harborough,59.5305886243386,,98.6301369863014
2011,Market Harborough,53.3055555555556,,30.4109589041096
2012,Market Harborough,NA,,0
2013,Market Harborough,63.8745046401515,,54.2465753424658
2014,Market Harborough,73.3698007204548,,97.8082191780822
2015,Market Harborough,69.9748661199787,,98.0821917808219
2016,Market Harborough,67.041704547831,,92.0765027322404
2017,Market Harborough,66.7108872545272,,97.2602739726027
2018,Market Harborough,71.1100384098164,,98.0821917808219
2019,Market Harborough,66.3078851807229,,22.7397260273973
2002,St Osyth,69.9748447204969,,63.013698630137
2003,St Osyth,72.3507428040854,,98.3561643835616
2004,St Osyth,70.0023020257827,,98.9071038251366
2005,St Osyth,70.2027649769585,,93.4246575342466
2006,St Osyth,71.1529175050302,,97.2602739726027
2007,St Osyth,71.5964352221336,,98.0821917808219
2008,St Osyth,68.2448559670782,,88.5245901639344
2009,St Osyth,67.3336359967716,,96.986301369863
2010,St Osyth,62.0873355040022,,96.1643835616438
2011,St Osyth,65.4926051200424,,98.3561643835616
2012,St Osyth,65.5487164139399,,97.8142076502732
2013,St Osyth,66.7924149100529,,98.6301369863014
2014,St Osyth,68.2940852598763,,98.0821917808219
2015,St Osyth,66.3942492825815,,93.6986301369863
2016,St Osyth,64.8347600560732,,94.2622950819672
2017,St Osyth,66.25303195384,,98.3561643835616
2018,St Osyth,69.9346071532738,,98.6301369863014
2019,St Osyth,72.190147716825,,98.9041095890411
1997,Narberth,73.2081026208933,,70.6849315068493
1998,Narberth,75.2192619813199,,85.2054794520548
1999,Narberth,77.32001614205,,80.8219178082192
2000,Narberth,76.7914675163746,,73.4972677595628
2001,Narberth,72.6537929125138,,94.2465753424658
2002,Narberth,70.515081799591,,89.3150684931507
2003,Narberth,66.6830261136713,,84.9315068493151
2004,Narberth,NA,,0
2005,Narberth,73.4200524246396,,59.7260273972603
2006,Narberth,76.3374189912651,,92.6027397260274
2007,Narberth,66.1338481338481,,10.1369863013699
2008,Narberth,71.6949461777048,,71.3114754098361
2009,Narberth,70.1969921104536,,92.6027397260274
2010,Narberth,68.9471469622332,,95.3424657534246
2011,Narberth,70.0247041012937,,94.7945205479452
2012,Narberth,70.0061553030303,,96.1748633879781
2013,Narberth,73.7543927751729,,98.0821917808219
2014,Narberth,71.6873617825195,,96.986301369863
2015,Narberth,72.8241777178671,,98.3561643835616
2016,Narberth,69.4870676670613,,98.9071038251366
2017,Narberth,69.6750711746704,,96.986301369863
2018,Narberth,73.5977236357474,,98.6301369863014
2019,Narberth,64.3037886455839,,98.0821917808219
1996,Rochester Stoke,67.0568099580258,,89.8907103825137
1997,Rochester Stoke,67.7254881303554,,92.8767123287671
1998,Rochester Stoke,67.0906862745098,,93.1506849315068
1999,Rochester Stoke,70.6304377658845,,95.0684931506849
2000,Rochester Stoke,65.9629272129272,,90.983606557377
2001,Rochester Stoke,68.853129637124,,96.7123287671233
2002,Rochester Stoke,67.4610510871015,,97.8082191780822
2003,Rochester Stoke,72.4950066137566,,98.6301369863014
2004,Rochester Stoke,68.6594907407407,,98.3606557377049
2005,Rochester Stoke,63.4511505719606,,98.0821917808219
2006,Rochester Stoke,67.9461467038069,,98.3561643835616
2007,Rochester Stoke,62.8707482993197,,97.8082191780822
2008,Rochester Stoke,61.5962246777164,,98.9071038251366
2009,Rochester Stoke,60.0297619047619,,78.9041095890411
2010,Rochester Stoke,58.1659042927516,,55.6164383561644
2011,Rochester Stoke,62.8181133212779,,86.5753424657534
2012,Rochester Stoke,64.1917089320935,,92.3497267759563
2013,Rochester Stoke,64.9885164132502,,92.6027397260274
2014,Rochester Stoke,68.1036303115079,,98.6301369863014
2015,Rochester Stoke,68.0686267307049,,97.5342465753425
2016,Rochester Stoke,64.3148912254579,,88.7978142076503
2017,Rochester Stoke,62.5017929586988,,62.4657534246575
2018,Rochester Stoke,71.7575122071759,,98.6301369863014
2019,Rochester Stoke,71.3864944785449,,98.3561643835616
1987,Sibton,60.2050865800866,,54.2465753424658
1988,Sibton,64.7035130002921,,89.0710382513661
1989,Sibton,67.6187950937951,,90.4109589041096
1990,Sibton,69.0028557665841,,94.7945205479452
