FECHA;GERENCIA;NOMBREGERENCIA;CS;CENTRO;PREVALENCIA;TASAx100;x_geo;y_geo;zbs_geo;PROVINCIA
2020-05-08;1710;Gerencia de Valladolid Este;171010;C.S. CIRCULAR;216;1.554851713;-4.7175863;41.6487178;CIRCULAR;Valladolid
2020-05-08;1710;Gerencia de Valladolid Este;171016;C.S. PORTILLO;193;1.668972674;-4.5726832;41.4774359;PORTILLO;Valladolid
2020-05-08;1710;Gerencia de Valladolid Este;171019;C.S. ALAEJOS;11;0.399709302;-5.2364845;41.3300658;ALAEJOS;Valladolid
2020-05-08;1711;Gerencia de Zamora;171110;C.S. CORRALES DEL VINO;23;0.790378007;-5.7465007;41.3106752;CORRALES DEL VINO;Zamora
2020-05-08;1711;Gerencia de Zamora;171113;C.S. LA GUAREÑA;74;1.404974369;-5.4630882;41.2789404;LA GUAREÑA;Zamora
2020-05-08;1711;Gerencia de Zamora;171118;C.S. SANTIBAÑEZ VIDRIAL;6;0.324324324;-6.0490574;42.0931624;SANTIBAÑEZ VIDRIAL;Zamora
2020-04-09;1706;Gerencia de Salamanca;170608;C.S. FUENTE DE SAN ESTEBAN;61;1.893821794;-6.2514024;40.8046117;FUENTE DE SAN ESTEBAN;Salamanca
2020-04-09;1706;Gerencia de Salamanca;170610;C.S. FUENTES DE OÑORO;1;0.049382716;-6.749247;40.6544786;FUENTES DE OÑORO;Salamanca
2020-04-09;1706;Gerencia de Salamanca;170614;C.S. ALAMEDILLA;373;2.017306652;-5.6525688;40.9621024;ALAMEDILLA;Salamanca
2020-04-09;1706;Gerencia de Salamanca;170621;C.S. PEDROSILLO EL RALO;62;2.347595608;-5.4871391;41.1200652;PEDROSILLO EL RALO;Salamanca
2020-04-09;1706;Gerencia de Salamanca;170628;C.S. SANTA MARTA DE TORMES;345;1.894667472;-5.5307167;40.9275702;SANTA MARTA DE TORMES;Salamanca
2020-04-09;1706;Gerencia de Salamanca;170630;C.S. TAMAMES;24;1.096391046;-6.1158181;40.6516889;TAMAMES;Salamanca
2020-04-09;1707;Gerencia de Segovia;170702;C.S. CARBONERO EL MAYOR;283;3.051871023;-4.1840569;41.1764848;CARBONERO EL MAYOR;Segovia
2020-04-09;1707;Gerencia de Segovia;170706;C.S. NAVA DE LA ASUNCION;170;1.984126984;-4.4695964;41.1179671;NAVA DE LA ASUNCION;Segovia
2020-04-09;1707;Gerencia de Segovia;170711;C.S. SEGOVIA RURAL;608;2.829881313;-4.2108946;40.9408168;SEGOVIA RURAL;Segovia
2020-04-09;1708;Gerencia de Soria;170806;C.S. SAN ESTEBAN GORMAZ;93;2.269399707;-3.271361;41.5454658;SAN ESTEBAN GORMAZ;Soria
2020-04-09;1708;Gerencia de Soria;170811;C.S. SORIA RURAL;166;2.271172527;-2.5494153;41.7928658;SORIA RURAL;Soria
2020-04-09;1709;Gerencia de Valladolid Oeste;170903;C.S. CASA DEL BARCO;161;1.069057105;-4.733827;41.6440203;CASA DEL BARCO;Valladolid
2020-04-09;1709;Gerencia de Valladolid Oeste;170913;C.S. MEDINA DE RIOSECO;71;1.082812262;-5.0000709;41.858445;MEDINA DE RIOSECO;Valladolid
2020-04-09;1709;Gerencia de Valladolid Oeste;170915;C.S. PARQUESOL;427;1.486924122;-4.7609774;41.6353453;PARQUESOL;Valladolid
2020-04-09;1710;Gerencia de Valladolid Este;171001;C.S. BARRIO ESPAÑA;91;1.531470885;-4.7052252;41.675017;BARRIO ESPAÑA;Valladolid
2020-04-09;1710;Gerencia de Valladolid Este;171006;C.S. ISCAR;104;0.939645826;-4.5398679;41.3527561;ISCAR;Valladolid
2020-04-09;1710;Gerencia de Valladolid Este;171010;C.S. CIRCULAR;239;1.720414627;-4.7175863;41.6487178;CIRCULAR;Valladolid
2020-04-09;1710;Gerencia de Valladolid Este;171021;C.S. MEDINA CAMPO RURAL;22;0.261127596;-4.9683549;41.2708021;MEDINA CAMPO RURAL;Valladolid
2020-04-09;1711;Gerencia de Zamora;171102;C.S. ALCAÑICES;13;0.282363162;-6.3315738;41.7589564;ALCAÑICES;Zamora
2020-04-09;1711;Gerencia de Zamora;171104;C.S. BENAVENTE NORTE;110;0.884955752;-5.7625318;42.0547064;BENAVENTE NORTE;Zamora
2020-04-09;1711;Gerencia de Zamora;171107;C.S. VILLARRIN;14;0.469483568;-5.6350913;41.766661;VILLARRIN;Zamora
2020-04-09;1711;Gerencia de Zamora;171109;C.S. MOMBUEY;19;0.945744151;-6.3616617;42.0450526;MOMBUEY;Zamora
